id,standard,subject,discipline,source_class,unit,unit_number,unit_name,chapter,branch,topic,subtopic,question_type,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,difficulty,cognitive_level,source_document,source_chapter,source_page,figure_asset,figure_required,figure_alt_text,generator_eligible,validation_status
NEET27-CHEM-0661,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Redox Couple,redox couple,Direct recall MCQ,Which description best identifies redox couple?,molar mass divided by the number of electrons exchanged per formula unit,two or more reactants form one principal product with oxidation-state changes,a more reactive element displaces a less reactive element from a compound,the oxidized and reduced forms of the same species,D,the oxidized and reduced forms of the same species,Redox couple is the oxidized and reduced forms of the same species. It is commonly written oxidized form slash reduced form.,Easy,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0662,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Half-Reaction Method,half-reaction method,Statement-based MCQ,Consider the following statements about half-reaction method: I. Half-reaction method is NOT a balancing method that separately balances oxidation and reduction equations. II. Electrons lost and gained are made equal before addition. Which option is correct?,Both I and II are correct,Neither I nor II is correct,Only II is correct,Only I is correct,B,Neither I nor II is correct,Neither I nor II is correct. Half-reaction method: a balancing method that separately balances oxidation and reduction equations. Electrons lost and gained are made equal before addition.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0663,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Salt Bridge,salt bridge,Statement-based MCQ,Complete the statement correctly: Salt bridge is most directly associated with,positive cell potential corresponds to negative Gibbs energy,an ionic connection completing a galvanic circuit,its overall reaction is not conveniently reversed,ln K equals nFE degree divided by RT,B,an ionic connection completing a galvanic circuit,The correct completion is an ionic connection completing a galvanic circuit. It maintains electrical neutrality without directly mixing the bulk solutions.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0664,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Standard Hydrogen Electrode,standard hydrogen electrode,Statement-based MCQ,"For standard hydrogen electrode, consider: I. The reference electrode assigned zero potential. II. It uses hydrogen gas, hydrogen ions and platinized platinum. III. It does NOT use hydrogen gas, hydrogen ions and platinized platinum. Which set contains only valid statements?",I and II only,"I, II and III",I and III only,II and III only,A,I and II only,Statements I and II describe standard hydrogen electrode; statement III reverses a decisive relation or condition and is false.,Difficult,Evaluation,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0665,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Comproportionation,comproportionation,Statement-based MCQ,Consider the following statements about comproportionation: I. Two oxidation states of an element do NOT form an intermediate oxidation state. II. It is the reverse pattern of disproportionation. Which option is correct?,Both I and II are correct,Neither I nor II is correct,Only I is correct,Only II is correct,D,Only II is correct,Only II is correct. Comproportionation: two oxidation states of an element form an intermediate oxidation state. It is the reverse pattern of disproportionation.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0666,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Standard Hydrogen Electrode,standard hydrogen electrode,Sequence/match MCQ,Which term–statement pair is correctly matched?,primary cell — positive cell potential corresponds to negative Gibbs energy,equilibrium-cell relation — its overall reaction is not conveniently reversed,"standard hydrogen electrode — it uses hydrogen gas, hydrogen ions and platinized platinum",Gibbs-cell relation — ln K equals nFE degree divided by RT,C,"standard hydrogen electrode — it uses hydrogen gas, hydrogen ions and platinized platinum","The correct match is standard hydrogen electrode — it uses hydrogen gas, hydrogen ions and platinized platinum. The remaining pairs cross-match a term with a statement belonging to another concept.",Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0667,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Reducing Agent,reducing agent,Statement-based MCQ,The statement ‘a species that donates electrons and is oxidized’ refers to,disproportionation,reducing agent,half-reaction method,comproportionation,B,reducing agent,"The defining statement matches reducing agent. In addition, it causes reduction of another species.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0668,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Auto-Redox Reaction,auto-redox reaction,Reaction/reagent MCQ,Which description best identifies auto-redox reaction?,loss of electrons or increase in oxidation number,another name for disproportionation,total increase in oxidation number equals total decrease after coefficients are applied,gain of electrons or decrease in oxidation number,B,another name for disproportionation,Auto-redox reaction is another name for disproportionation. The same reactant acts as oxidant and reductant.,Easy,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0669,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Disproportionation,disproportionation,Sequence/match MCQ,Which term–statement pair is correctly matched?,acidic-medium balancing — water molecules are then cancelled where possible,redox couple — charge is balanced by adding electrons,basic-medium balancing — it is commonly written oxidized form slash reduced form,disproportionation — an intermediate oxidation state gives two products with higher and lower states,D,disproportionation — an intermediate oxidation state gives two products with higher and lower states,The correct match is disproportionation — an intermediate oxidation state gives two products with higher and lower states. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0670,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Specific Conductance,specific conductance,Statement-based MCQ,Complete the statement correctly: Specific conductance is most directly associated with,a double vertical line represents the salt bridge,the anode is positive,conductance of a material specimen of unit length and unit cross-section,it maintains electrical neutrality without directly mixing the bulk solutions,C,conductance of a material specimen of unit length and unit cross-section,The correct completion is conductance of a material specimen of unit length and unit cross-section. Its si unit is siemens per metre.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0671,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Oxidation Number,oxidation number,Statement-based MCQ,The statement ‘a formal charge assigned by electron-bookkeeping rules’ refers to,oxidation number,acidic-medium balancing,half-reaction method,comproportionation,A,oxidation number,"The defining statement matches oxidation number. In addition, the sum equals the overall charge on the species.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0672,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Acidic-Medium Balancing,acidic-medium balancing,Conceptual/application MCQ,Which description best identifies acidic-medium balancing?,molar mass divided by the number of electrons exchanged per formula unit,oxygen is balanced with water and hydrogen with hydrogen ions,the oxidized and reduced forms of the same species,a balanced acidic equation is converted by adding hydroxide ions to both sides,B,oxygen is balanced with water and hydrogen with hydrogen ions,Acidic-medium balancing is oxygen is balanced with water and hydrogen with hydrogen ions. Charge is balanced by adding electrons.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0673,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Galvanic Cell,galvanic cell,Sequence/match MCQ,Which term–statement pair is correctly matched?,standard hydrogen electrode — a double vertical line represents the salt bridge,galvanic cell — oxidation occurs at the negative anode,cell notation — more positive reduction potential indicates greater reduction tendency,"standard electrode potential — it uses hydrogen gas, hydrogen ions and platinized platinum",B,galvanic cell — oxidation occurs at the negative anode,The correct match is galvanic cell — oxidation occurs at the negative anode. The remaining pairs cross-match a term with a statement belonging to another concept.,Medium,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0674,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Reducing Agent,reducing agent,Statement-based MCQ,Consider the following statements about reducing agent: I. A species that accepts electrons and is reduced. II. It does NOT cause reduction of another species. Which option is correct?,Only II is correct,Both I and II are correct,Only I is correct,Neither I nor II is correct,D,Neither I nor II is correct,Neither I nor II is correct. Reducing agent: a species that donates electrons and is oxidized. It causes reduction of another species.,Difficult,Evaluation,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0675,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Comproportionation,comproportionation,Sequence/match MCQ,Which term–statement pair is correctly matched?,comproportionation — it is the reverse pattern of disproportionation,basic-medium balancing — it is commonly written oxidized form slash reduced form,redox couple — the electron-change factor depends on the specified reaction,equivalent mass in redox — water molecules are then cancelled where possible,A,comproportionation — it is the reverse pattern of disproportionation,The correct match is comproportionation — it is the reverse pattern of disproportionation. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0676,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Electron Balance,electron balance,Sequence/match MCQ,Which term–statement pair is correctly matched?,oxidizing agent — it causes reduction of another species,electron balance — it is a check on a balanced redox equation,reducing agent — the sum equals the overall charge on the species,oxidation number — it causes oxidation of another species,B,electron balance — it is a check on a balanced redox equation,The correct match is electron balance — it is a check on a balanced redox equation. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0677,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Combination Redox Reaction,combination redox reaction,Sequence/match MCQ,Which term–statement pair is correctly matched?,reduction — it is a check on a balanced redox equation,electron balance — it occurs at the anode of an electrochemical cell,combination redox reaction — not every combination reaction is necessarily redox,oxidation — it occurs at the cathode of an electrochemical cell,C,combination redox reaction — not every combination reaction is necessarily redox,The correct match is combination redox reaction — not every combination reaction is necessarily redox. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0678,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Acidic-Medium Balancing,acidic-medium balancing,Statement-based MCQ,The statement ‘oxygen is balanced with water and hydrogen with hydrogen ions’ refers to,acidic-medium balancing,combination redox reaction,redox couple,equivalent mass in redox,A,acidic-medium balancing,"The defining statement matches acidic-medium balancing. In addition, charge is balanced by adding electrons.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0679,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Auto-Redox Reaction,auto-redox reaction,Sequence/match MCQ,Which term–statement pair is correctly matched?,reduction — it causes oxidation of another species,auto-redox reaction — the same reactant acts as oxidant and reductant,oxidizing agent — it causes reduction of another species,reducing agent — it occurs at the cathode of an electrochemical cell,B,auto-redox reaction — the same reactant acts as oxidant and reductant,The correct match is auto-redox reaction — the same reactant acts as oxidant and reductant. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0680,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Faraday Constant,Faraday constant,Direct recall MCQ,Which description best identifies Faraday constant?,an ionic connection completing a galvanic circuit,a cell driven by an external source for a nonspontaneous reaction,a cell converting spontaneous chemical energy into electrical energy,charge carried by one mole of electrons,D,charge carried by one mole of electrons,Faraday constant is charge carried by one mole of electrons. Its approximate value is 96485 coulombs per mole.,Easy,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0681,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Faraday Constant,Faraday constant,Statement-based MCQ,The statement ‘charge carried by one mole of electrons’ refers to,electrolytic cell,cell notation,Faraday constant,salt bridge,C,Faraday constant,"The defining statement matches Faraday constant. In addition, its approximate value is 96485 coulombs per mole.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0682,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Equivalent Mass In Redox,equivalent mass in redox,Statement-based MCQ,The statement ‘molar mass divided by the number of electrons exchanged per formula unit’ refers to,equivalent mass in redox,electron balance,displacement redox reaction,auto-redox reaction,A,equivalent mass in redox,"The defining statement matches equivalent mass in redox. In addition, the electron-change factor depends on the specified reaction.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0683,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Oxidizing Agent,oxidizing agent,Statement-based MCQ,The statement ‘a species that accepts electrons and is reduced’ refers to,oxidation number,disproportionation,oxidizing agent,comproportionation,C,oxidizing agent,"The defining statement matches oxidizing agent. In addition, it causes oxidation of another species.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0684,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Basic-Medium Balancing,basic-medium balancing,Statement-based MCQ,Consider the following statements about basic-medium balancing: I. A balanced acidic equation is converted by adding hydroxide ions to both sides. II. Water molecules are NOT then cancelled where possible. Which option is correct?,Only I is correct,Neither I nor II is correct,Both I and II are correct,Only II is correct,A,Only I is correct,Only I is correct. Basic-medium balancing: a balanced acidic equation is converted by adding hydroxide ions to both sides. Water molecules are then cancelled where possible.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0685,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Equivalent Mass In Redox,equivalent mass in redox,Statement-based MCQ,Consider the following statements about equivalent mass in redox: I. Equivalent mass in redox is NOT equal to molar mass divided by the number of electrons exchanged per formula unit. II. The electron-change factor does NOT depend on the specified reaction. Which option is correct?,Only I is correct,Only II is correct,Both I and II are correct,Neither I nor II is correct,D,Neither I nor II is correct,Neither I nor II is correct. Equivalent mass in redox: molar mass divided by the number of electrons exchanged per formula unit. The electron-change factor depends on the specified reaction.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0686,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Auto-Redox Reaction,auto-redox reaction,Statement-based MCQ,Consider the following statements about auto-redox reaction: I. Auto-redox reaction is NOT another name for disproportionation. II. The same reactant acts as oxidant and reductant. Which option is correct?,Both I and II are correct,Neither I nor II is correct,Only II is correct,Only I is correct,C,Only II is correct,Only II is correct. Auto-redox reaction: another name for disproportionation. The same reactant acts as oxidant and reductant.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0687,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Oxidizing Agent,oxidizing agent,Direct recall MCQ,Which description best identifies oxidizing agent?,one element in one species is simultaneously oxidized and reduced,a species that donates electrons and is oxidized,a species that accepts electrons and is reduced,a formal charge assigned by electron-bookkeeping rules,C,a species that accepts electrons and is reduced,Oxidizing agent is a species that accepts electrons and is reduced. It causes oxidation of another species.,Easy,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0688,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Combination Redox Reaction,combination redox reaction,Statement-based MCQ,Consider the following statements about combination redox reaction: I. Two or more reactants form one principal product with oxidation-state changes. II. NOT every combination reaction is necessarily redox. Which option is correct?,Only I is correct,Neither I nor II is correct,Only II is correct,Both I and II are correct,D,Both I and II are correct,Both I and II are correct. Combination redox reaction: two or more reactants form one principal product with oxidation-state changes. Not every combination reaction is necessarily redox.,Difficult,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0689,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Equivalent Mass In Redox,equivalent mass in redox,Conceptual/application MCQ,Which description best identifies equivalent mass in redox?,another name for disproportionation,a more reactive element displaces a less reactive element from a compound,molar mass divided by the number of electrons exchanged per formula unit,two or more reactants form one principal product with oxidation-state changes,C,molar mass divided by the number of electrons exchanged per formula unit,Equivalent mass in redox is molar mass divided by the number of electrons exchanged per formula unit. The electron-change factor depends on the specified reaction.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0690,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Electron Balance,electron balance,Conceptual/application MCQ,Which description best identifies electron balance?,total increase in oxidation number need not equal total decrease after balancing,gain of electrons or decrease in oxidation number,a species that accepts electrons and is reduced,total increase in oxidation number equals total decrease after coefficients are applied,D,total increase in oxidation number equals total decrease after coefficients are applied,Electron balance is total increase in oxidation number equals total decrease after coefficients are applied. It is a check on a balanced redox equation.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0691,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Specific Conductance,specific conductance,Direct recall MCQ,Which description best identifies specific conductance?,at infinite dilution each ion contributes independently to molar conductivity,conductivity multiplied by volume containing one mole of electrolyte,mass deposited is proportional to charge passed,conductance of a material specimen of unit length and unit cross-section,D,conductance of a material specimen of unit length and unit cross-section,Specific conductance is conductance of a material specimen of unit length and unit cross-section. Its si unit is siemens per metre.,Easy,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0692,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Galvanic Cell,galvanic cell,Statement-based MCQ,The statement ‘a cell converting spontaneous chemical energy into electrical energy’ refers to,galvanic cell,standard electrode potential,cell notation,salt bridge,A,galvanic cell,"The defining statement matches galvanic cell. In addition, oxidation occurs at the negative anode.",Easy,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0693,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Faraday Constant,Faraday constant,Sequence/match MCQ,Which term–statement pair is correctly matched?,standard electrode potential — it maintains electrical neutrality without directly mixing the bulk solutions,Faraday constant — its approximate value is 96485 coulombs per mole,cell notation — more positive reduction potential indicates greater reduction tendency,salt bridge — a double vertical line represents the salt bridge,B,Faraday constant — its approximate value is 96485 coulombs per mole,The correct match is Faraday constant — its approximate value is 96485 coulombs per mole. The remaining pairs cross-match a term with a statement belonging to another concept.,Medium,Comprehension,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0694,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Displacement Redox Reaction,displacement redox reaction,Reaction/reagent MCQ,Which description best identifies displacement redox reaction?,loss of electrons or increase in oxidation number,another name for disproportionation,total increase in oxidation number equals total decrease after coefficients are applied,a more reactive element displaces a less reactive element from a compound,D,a more reactive element displaces a less reactive element from a compound,Displacement redox reaction is a more reactive element displaces a less reactive element from a compound. Electron transfer accompanies the displacement.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0695,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Reduction,reduction,Statement-based MCQ,Consider the following statements about reduction: I. Gain of electrons or decrease in oxidation number. II. It does NOT occur at the cathode of an electrochemical cell. Which option is correct?,Both I and II are correct,Neither I nor II is correct,Only I is correct,Only II is correct,C,Only I is correct,Only I is correct. Reduction: gain of electrons or decrease in oxidation number. It occurs at the cathode of an electrochemical cell.,Difficult,Evaluation,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0696,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Oxidation,oxidation,Statement-based MCQ,Consider the following statements about oxidation: I. Loss of electrons or increase in oxidation number. II. It occurs at the anode of an electrochemical cell. Which option is correct?,Neither I nor II is correct,Only II is correct,Both I and II are correct,Only I is correct,C,Both I and II are correct,Both I and II are correct. Oxidation: loss of electrons or increase in oxidation number. It occurs at the anode of an electrochemical cell.,Difficult,Evaluation,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0697,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Half-Reaction Method,half-reaction method,Reaction/reagent MCQ,Which description best identifies half-reaction method?,a balancing method that separately balances oxidation and reduction equations,a balanced acidic equation is converted by adding hydroxide ions to both sides,oxygen is balanced with water and hydrogen with hydrogen ions,the oxidized and reduced forms of the same species,A,a balancing method that separately balances oxidation and reduction equations,Half-reaction method is a balancing method that separately balances oxidation and reduction equations. Electrons lost and gained are made equal before addition.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0698,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Combination Redox Reaction,combination redox reaction,Reaction/reagent MCQ,Which description best identifies combination redox reaction?,another name for disproportionation,a more reactive element displaces a less reactive element from a compound,total increase in oxidation number equals total decrease after coefficients are applied,two or more reactants form one principal product with oxidation-state changes,D,two or more reactants form one principal product with oxidation-state changes,Combination redox reaction is two or more reactants form one principal product with oxidation-state changes. Not every combination reaction is necessarily redox.,Medium,Recall,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
NEET27-CHEM-0699,NEET-UG,Chemistry,Physical Chemistry,XII,Unit 7: Redox Reactions and Electrochemistry,7,Redox Reactions and Electrochemistry,Redox Reactions and Electrochemistry,Physical Chemistry,Electrolytic Cell,electrolytic cell,Statement-based MCQ,Consider the following statements about electrolytic cell: I. A cell driven by an external source for a nonspontaneous reaction. II. The anode is positive. Which option is correct?,Only I is correct,Neither I nor II is correct,Both I and II are correct,Only II is correct,C,Both I and II are correct,Both I and II are correct. Electrolytic cell: a cell driven by an external source for a nonspontaneous reaction. The anode is positive.,Difficult,Analysis,"NCERT Chemistry, Class XII, current rationalised edition",Redox Reactions and Electrochemistry,,,False,,True,PASS
