id,unit,topic,difficulty,question_type
NEET27-CHEM-0360,4,Heat Capacity,Easy,Statement-based MCQ
NEET27-CHEM-0361,4,Pressure-Volume Work,Easy,Statement-based MCQ
NEET27-CHEM-0362,4,State Function,Medium,Statement-based MCQ
NEET27-CHEM-0363,4,Second Law,Medium,Sequence/match MCQ
NEET27-CHEM-0364,4,Standard Enthalpy Of Formation,Difficult,Sequence/match MCQ
NEET27-CHEM-0365,4,Enthalpy,Medium,Statement-based MCQ
NEET27-CHEM-0366,4,Pressure-Volume Work,Difficult,Sequence/match MCQ
NEET27-CHEM-0367,4,Endothermic Process,Easy,Direct recall MCQ
NEET27-CHEM-0368,4,Internal Energy,Difficult,Sequence/match MCQ
NEET27-CHEM-0369,4,Equilibrium And Gibbs Energy,Difficult,Statement-based MCQ
NEET27-CHEM-0370,4,Gibbs Energy,Difficult,Statement-based MCQ
NEET27-CHEM-0371,4,Standard Gibbs Relation,Easy,Statement-based MCQ
NEET27-CHEM-0372,4,Second Law,Difficult,Sequence/match MCQ
NEET27-CHEM-0373,4,Spontaneous Process,Easy,Statement-based MCQ
NEET27-CHEM-0374,4,Entropy,Medium,Statement-based MCQ
NEET27-CHEM-0375,4,Endothermic Process,Difficult,Sequence/match MCQ
NEET27-CHEM-0376,4,Entropy,Easy,Statement-based MCQ
NEET27-CHEM-0377,4,Standard Gibbs Relation,Difficult,Sequence/match MCQ
NEET27-CHEM-0378,4,Internal Energy,Easy,Direct recall MCQ
NEET27-CHEM-0379,4,Exothermic Process,Medium,Sequence/match MCQ
NEET27-CHEM-0380,4,Hess Law,Medium,Sequence/match MCQ
NEET27-CHEM-0381,4,Exothermic Process,Easy,Statement-based MCQ
NEET27-CHEM-0382,4,Bond Enthalpy Estimate,Difficult,Statement-based MCQ
NEET27-CHEM-0383,4,Equilibrium And Gibbs Energy,Difficult,Statement-based MCQ
NEET27-CHEM-0384,4,Pressure-Volume Work,Easy,Direct recall MCQ
NEET27-CHEM-0385,4,Spontaneous Process,Difficult,Statement-based MCQ
NEET27-CHEM-0386,4,Exothermic Process,Difficult,Statement-based MCQ
NEET27-CHEM-0387,4,Endothermic Process,Easy,Statement-based MCQ
NEET27-CHEM-0388,4,Standard Gibbs Relation,Easy,Direct recall MCQ
NEET27-CHEM-0389,4,Path Function,Easy,Statement-based MCQ
NEET27-CHEM-0390,4,Heat Capacity,Easy,Direct recall MCQ
NEET27-CHEM-0391,4,Adiabatic Process,Easy,Statement-based MCQ
NEET27-CHEM-0392,4,Second Law,Easy,Statement-based MCQ
NEET27-CHEM-0393,4,Irreversible Process,Difficult,Sequence/match MCQ
NEET27-CHEM-0394,4,State Function,Medium,Sequence/match MCQ
NEET27-CHEM-0395,4,Hess Law,Easy,Direct recall MCQ
NEET27-CHEM-0396,4,Internal Energy,Medium,Statement-based MCQ
NEET27-CHEM-0397,5,Positive Deviation From Raoult Law,Easy,Statement-based MCQ
NEET27-CHEM-0398,5,Henry Law,Easy,Statement-based MCQ
NEET27-CHEM-0399,5,Maximum-Boiling Azeotrope,Difficult,Sequence/match MCQ
NEET27-CHEM-0400,5,Solubility,Medium,Sequence/match MCQ
NEET27-CHEM-0401,5,Negative Deviation From Raoult Law,Easy,Statement-based MCQ
NEET27-CHEM-0402,5,Van'T Hoff Factor,Difficult,Statement-based MCQ
NEET27-CHEM-0403,5,Van'T Hoff Factor,Medium,Statement-based MCQ
NEET27-CHEM-0404,5,Ideal Solution,Easy,Statement-based MCQ
NEET27-CHEM-0405,5,Relative Lowering Of Vapour Pressure,Medium,Conceptual/application MCQ
NEET27-CHEM-0406,5,Abnormal Molar Mass,Difficult,Statement-based MCQ
NEET27-CHEM-0407,5,Positive Deviation From Raoult Law,Medium,Conceptual/application MCQ
NEET27-CHEM-0408,5,Osmotic Pressure,Easy,Statement-based MCQ
NEET27-CHEM-0409,5,Depression Of Freezing Point,Medium,Conceptual/application MCQ
NEET27-CHEM-0410,5,Abnormal Molar Mass,Easy,Statement-based MCQ
NEET27-CHEM-0411,5,Osmotic Pressure,Difficult,Sequence/match MCQ
NEET27-CHEM-0412,5,Colligative Property,Easy,Statement-based MCQ
NEET27-CHEM-0413,5,Maximum-Boiling Azeotrope,Medium,Conceptual/application MCQ
NEET27-CHEM-0414,5,Minimum-Boiling Azeotrope,Easy,Statement-based MCQ
NEET27-CHEM-0415,5,Colligative Property,Difficult,Statement-based MCQ
NEET27-CHEM-0416,5,Henry Law,Easy,Statement-based MCQ
NEET27-CHEM-0417,5,Colligative Property,Difficult,Statement-based MCQ
NEET27-CHEM-0418,5,Van'T Hoff Factor,Easy,Statement-based MCQ
NEET27-CHEM-0419,5,Henry Law,Medium,Conceptual/application MCQ
NEET27-CHEM-0420,5,Negative Deviation From Raoult Law,Medium,Conceptual/application MCQ
NEET27-CHEM-0421,5,Azeotrope,Difficult,Sequence/match MCQ
NEET27-CHEM-0422,5,Maximum-Boiling Azeotrope,Easy,Statement-based MCQ
NEET27-CHEM-0423,5,Azeotrope,Easy,Statement-based MCQ
NEET27-CHEM-0424,5,Osmotic Pressure,Easy,Direct recall MCQ
NEET27-CHEM-0425,5,Azeotrope,Easy,Statement-based MCQ
NEET27-CHEM-0426,5,Molarity,Easy,Direct recall MCQ
NEET27-CHEM-0427,5,Relative Lowering Of Vapour Pressure,Difficult,Sequence/match MCQ
NEET27-CHEM-0428,5,Raoult Law,Medium,Sequence/match MCQ
NEET27-CHEM-0429,5,Relative Lowering Of Vapour Pressure,Easy,Statement-based MCQ
NEET27-CHEM-0430,5,Mole Fraction,Medium,Statement-based MCQ
NEET27-CHEM-0431,5,Colligative Property,Medium,Conceptual/application MCQ
NEET27-CHEM-0432,5,Elevation Of Boiling Point,Difficult,Statement-based MCQ
NEET27-CHEM-0433,5,Abnormal Molar Mass,Medium,Conceptual/application MCQ
NEET27-CHEM-0434,5,Azeotrope,Medium,Statement-based MCQ
NEET27-CHEM-0435,5,Ideal Solution,Easy,Direct recall MCQ
NEET27-CHEM-0436,5,Negative Deviation From Raoult Law,Difficult,Sequence/match MCQ
NEET27-CHEM-0437,5,Raoult Law,Easy,Statement-based MCQ
NEET27-CHEM-0438,5,Elevation Of Boiling Point,Medium,Sequence/match MCQ
NEET27-CHEM-0439,5,Ideal Solution,Medium,Sequence/match MCQ
NEET27-CHEM-0440,5,Elevation Of Boiling Point,Difficult,Statement-based MCQ
NEET27-CHEM-0441,5,Elevation Of Boiling Point,Easy,Statement-based MCQ
NEET27-CHEM-0442,5,Depression Of Freezing Point,Difficult,Sequence/match MCQ
NEET27-CHEM-0443,5,Ideal Solution,Easy,Statement-based MCQ
NEET27-CHEM-0444,5,Elevation Of Boiling Point,Difficult,Statement-based MCQ
NEET27-CHEM-0445,5,Minimum-Boiling Azeotrope,Difficult,Sequence/match MCQ
NEET27-CHEM-0446,5,Abnormal Molar Mass,Medium,Sequence/match MCQ
NEET27-CHEM-0447,5,Osmotic Pressure,Difficult,Statement-based MCQ
NEET27-CHEM-0448,5,Raoult Law,Medium,Conceptual/application MCQ
NEET27-CHEM-0449,5,Minimum-Boiling Azeotrope,Difficult,Statement-based MCQ
NEET27-CHEM-0450,5,Concentration expressions,Medium,One-step numerical MCQ
NEET27-CHEM-0451,5,Solubility,Easy,Statement-based MCQ
NEET27-CHEM-0452,5,Elevation Of Boiling Point,Medium,Conceptual/application MCQ
NEET27-CHEM-0453,5,Molality,Easy,Direct recall MCQ
NEET27-CHEM-0454,5,Osmotic Pressure,Medium,Sequence/match MCQ
NEET27-CHEM-0455,5,Depression Of Freezing Point,Difficult,Statement-based MCQ
NEET27-CHEM-0456,5,Van'T Hoff Factor,Easy,Statement-based MCQ
NEET27-CHEM-0457,5,Relative Lowering Of Vapour Pressure,Difficult,Statement-based MCQ
NEET27-CHEM-0458,5,Van'T Hoff Factor,Difficult,Sequence/match MCQ
NEET27-CHEM-0459,5,Maximum-Boiling Azeotrope,Difficult,Statement-based MCQ
NEET27-CHEM-0460,5,Van'T Hoff Factor,Medium,Conceptual/application MCQ
NEET27-CHEM-0461,5,Raoult Law,Easy,Statement-based MCQ
NEET27-CHEM-0462,5,Abnormal Molar Mass,Difficult,Statement-based MCQ
NEET27-CHEM-0463,5,Positive Deviation From Raoult Law,Difficult,Sequence/match MCQ
NEET27-CHEM-0464,5,Henry Law,Difficult,Sequence/match MCQ
NEET27-CHEM-0465,5,Negative Deviation From Raoult Law,Difficult,Statement-based MCQ
NEET27-CHEM-0466,5,Maximum-Boiling Azeotrope,Difficult,Statement-based MCQ
NEET27-CHEM-0467,5,Colligative Property,Difficult,Sequence/match MCQ
NEET27-CHEM-0468,5,Depression Of Freezing Point,Difficult,Statement-based MCQ
NEET27-CHEM-0469,5,Negative Deviation From Raoult Law,Easy,Statement-based MCQ
NEET27-CHEM-0470,5,Azeotrope,Easy,Direct recall MCQ
NEET27-CHEM-0471,5,Relative Lowering Of Vapour Pressure,Difficult,Statement-based MCQ
NEET27-CHEM-0472,5,Minimum-Boiling Azeotrope,Medium,Conceptual/application MCQ
NEET27-CHEM-0473,5,Osmotic Pressure,Difficult,Statement-based MCQ
NEET27-CHEM-0474,5,Colligative Property,Easy,Statement-based MCQ
NEET27-CHEM-0475,5,Minimum-Boiling Azeotrope,Difficult,Sequence/match MCQ
NEET27-CHEM-0476,5,Mole Fraction,Easy,Direct recall MCQ
NEET27-CHEM-0477,5,Azeotrope,Difficult,Statement-based MCQ
NEET27-CHEM-0478,5,Solubility,Medium,Statement-based MCQ
NEET27-CHEM-0479,5,Relative Lowering Of Vapour Pressure,Medium,Sequence/match MCQ
NEET27-CHEM-0480,5,Solubility,Easy,Direct recall MCQ
NEET27-CHEM-0481,5,Positive Deviation From Raoult Law,Medium,Statement-based MCQ
NEET27-CHEM-0482,5,Molarity,Easy,Statement-based MCQ
NEET27-CHEM-0483,5,Depression Of Freezing Point,Medium,Sequence/match MCQ
NEET27-CHEM-0484,5,Minimum-Boiling Azeotrope,Easy,Statement-based MCQ
NEET27-CHEM-0485,5,Depression Of Freezing Point,Easy,Statement-based MCQ
NEET27-CHEM-0486,5,Abnormal Molar Mass,Easy,Statement-based MCQ
NEET27-CHEM-0487,6,pH,Easy,Statement-based MCQ
NEET27-CHEM-0488,6,Ionic Product Of Water,Medium,Conceptual/application MCQ
NEET27-CHEM-0489,6,Reaction quotient,Medium,Reaction/reagent MCQ
NEET27-CHEM-0490,6,Henderson-Hasselbalch Equation,Easy,Statement-based MCQ
NEET27-CHEM-0491,6,Ostwald Dilution Law,Medium,Statement-based MCQ
NEET27-CHEM-0492,6,Acid-Base Indicator,Easy,Statement-based MCQ
NEET27-CHEM-0493,6,Brønsted Acid,Easy,Statement-based MCQ
NEET27-CHEM-0494,6,Henderson-Hasselbalch Equation,Difficult,Sequence/match MCQ
NEET27-CHEM-0495,6,Weak Electrolyte,Easy,Statement-based MCQ
NEET27-CHEM-0496,6,Physical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0497,6,Acidic Buffer,Medium,Statement-based MCQ
NEET27-CHEM-0498,6,Acidic Buffer,Easy,Statement-based MCQ
NEET27-CHEM-0499,6,Strong Electrolyte,Easy,Statement-based MCQ
NEET27-CHEM-0500,6,Chemical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0501,6,Chemical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0502,6,Basic Buffer,Easy,Statement-based MCQ
NEET27-CHEM-0503,6,Solubility Product,Difficult,Statement-based MCQ
NEET27-CHEM-0504,6,Ionic Product Of Water,Medium,Sequence/match MCQ
NEET27-CHEM-0505,6,Le Chatelier principle,Difficult,Conceptual/application MCQ
NEET27-CHEM-0506,6,Brønsted Base,Easy,Direct recall MCQ
NEET27-CHEM-0507,6,Strong Electrolyte,Medium,Conceptual/application MCQ
NEET27-CHEM-0508,6,Weak Electrolyte,Difficult,Statement-based MCQ
NEET27-CHEM-0509,6,Buffer Capacity,Difficult,Sequence/match MCQ
NEET27-CHEM-0510,6,Equivalence Point,Difficult,Sequence/match MCQ
NEET27-CHEM-0511,6,Physical equilibrium,Medium,Conceptual/application MCQ
NEET27-CHEM-0512,6,Chemical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0513,6,Conjugate Acid-Base Pair,Medium,Statement-based MCQ
NEET27-CHEM-0514,6,Amphiprotic Species,Easy,Statement-based MCQ
NEET27-CHEM-0515,6,Acidic Buffer,Medium,Sequence/match MCQ
NEET27-CHEM-0516,6,Equivalence Point,Easy,Statement-based MCQ
NEET27-CHEM-0517,6,Equilibrium constant,Medium,Reaction/reagent MCQ
NEET27-CHEM-0518,6,Le Chatelier principle,Difficult,Conceptual/application MCQ
NEET27-CHEM-0519,6,Basic Buffer,Easy,Statement-based MCQ
NEET27-CHEM-0520,6,Salt Hydrolysis,Easy,Statement-based MCQ
NEET27-CHEM-0521,6,Solubility Product,Easy,Statement-based MCQ
NEET27-CHEM-0522,6,Reaction quotient,Medium,Reaction/reagent MCQ
NEET27-CHEM-0523,6,Equilibrium fundamentals,Medium,Statement-based MCQ
NEET27-CHEM-0524,6,Acid-Base Indicator,Easy,Direct recall MCQ
NEET27-CHEM-0525,6,Buffer Capacity,Difficult,Statement-based MCQ
NEET27-CHEM-0526,6,Solubility Product,Difficult,Sequence/match MCQ
NEET27-CHEM-0527,6,Lewis Base,Easy,Direct recall MCQ
NEET27-CHEM-0528,6,Amphiprotic Species,Easy,Direct recall MCQ
NEET27-CHEM-0529,6,Buffer solutions,Medium,Reaction/reagent MCQ
NEET27-CHEM-0530,6,Lewis concept,Medium,Conceptual/application MCQ
NEET27-CHEM-0531,6,pH,Medium,Sequence/match MCQ
NEET27-CHEM-0532,6,Ionic Product Criterion,Easy,Statement-based MCQ
NEET27-CHEM-0533,6,Solubility product,Medium,Conceptual/application MCQ
NEET27-CHEM-0534,6,Buffer Capacity,Easy,Direct recall MCQ
NEET27-CHEM-0535,6,Equilibrium fundamentals,Medium,Statement-based MCQ
NEET27-CHEM-0536,6,Acidic Buffer,Easy,Statement-based MCQ
NEET27-CHEM-0537,6,Brønsted-Lowry concept,Medium,Conceptual/application MCQ
NEET27-CHEM-0538,6,Acid Dissociation Constant,Easy,Statement-based MCQ
NEET27-CHEM-0539,6,Ionic Product Criterion,Medium,Sequence/match MCQ
NEET27-CHEM-0540,6,Equilibrium constant,Medium,Reaction/reagent MCQ
NEET27-CHEM-0541,6,Brønsted Acid,Medium,Statement-based MCQ
NEET27-CHEM-0542,6,Base Dissociation Constant,Easy,Statement-based MCQ
NEET27-CHEM-0543,6,Conjugate Acid-Base Pair,Medium,Sequence/match MCQ
NEET27-CHEM-0544,6,Common-Ion Effect,Medium,Sequence/match MCQ
NEET27-CHEM-0545,6,Equilibrium fundamentals,Medium,Statement-based MCQ
NEET27-CHEM-0546,6,Le Chatelier principle,Difficult,Conceptual/application MCQ
NEET27-CHEM-0547,6,Acid Dissociation Constant,Difficult,Statement-based MCQ
NEET27-CHEM-0548,6,Acid Dissociation Constant,Medium,Conceptual/application MCQ
NEET27-CHEM-0549,6,Conjugate Acid-Base Pair,Easy,Statement-based MCQ
NEET27-CHEM-0550,6,Equivalence Point,Easy,Direct recall MCQ
NEET27-CHEM-0551,6,Basic Buffer,Easy,Direct recall MCQ
NEET27-CHEM-0552,6,Salt Hydrolysis,Difficult,Statement-based MCQ
NEET27-CHEM-0553,6,Physical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0554,6,Ionic Product Criterion,Medium,Conceptual/application MCQ
NEET27-CHEM-0555,6,Physical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0556,6,Acid Dissociation Constant,Easy,Statement-based MCQ
NEET27-CHEM-0557,6,Conjugate Acid-Base Pair,Easy,Direct recall MCQ
NEET27-CHEM-0558,6,Acid ionisation,Medium,Conceptual/application MCQ
NEET27-CHEM-0559,6,Physical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0560,6,Chemical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0561,6,Equilibrium constant,Medium,Reaction/reagent MCQ
NEET27-CHEM-0562,6,Basic Buffer,Difficult,Statement-based MCQ
NEET27-CHEM-0563,6,Weak Electrolyte,Medium,Statement-based MCQ
NEET27-CHEM-0564,6,Heterogeneous equilibrium,Medium,Conceptual/application MCQ
NEET27-CHEM-0565,6,pH,Easy,Direct recall MCQ
NEET27-CHEM-0566,6,Common-Ion Effect,Easy,Statement-based MCQ
NEET27-CHEM-0567,6,Weak Electrolyte,Difficult,Statement-based MCQ
NEET27-CHEM-0568,6,Le Chatelier principle,Difficult,Conceptual/application MCQ
NEET27-CHEM-0569,6,Thermodynamic equilibrium,Medium,Reaction/reagent MCQ
NEET27-CHEM-0570,6,Henderson-Hasselbalch Equation,Difficult,Statement-based MCQ
NEET27-CHEM-0571,6,Ostwald Dilution Law,Easy,Statement-based MCQ
NEET27-CHEM-0572,6,Reaction quotient,Medium,Reaction/reagent MCQ
NEET27-CHEM-0573,6,Henderson-Hasselbalch Equation,Difficult,Sequence/match MCQ
NEET27-CHEM-0574,6,Salt Hydrolysis,Difficult,Statement-based MCQ
NEET27-CHEM-0575,6,Salt Hydrolysis,Easy,Statement-based MCQ
NEET27-CHEM-0576,6,Acid Dissociation Constant,Difficult,Sequence/match MCQ
NEET27-CHEM-0577,6,Base Dissociation Constant,Medium,Conceptual/application MCQ
NEET27-CHEM-0578,6,Base Dissociation Constant,Easy,Statement-based MCQ
NEET27-CHEM-0579,6,Ionic Product Of Water,Easy,Statement-based MCQ
NEET27-CHEM-0580,6,Chemical equilibrium,Difficult,Statement-based MCQ
NEET27-CHEM-0581,6,Ostwald Dilution Law,Medium,Conceptual/application MCQ
NEET27-CHEM-0582,6,Base Dissociation Constant,Difficult,Statement-based MCQ
NEET27-CHEM-0583,6,Ionic Product Criterion,Easy,Statement-based MCQ
NEET27-CHEM-0584,6,Ionic Product Criterion,Difficult,Sequence/match MCQ
NEET27-CHEM-0585,6,Chemical equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0586,6,Amphiprotic Species,Medium,Sequence/match MCQ
NEET27-CHEM-0587,6,Le Chatelier principle,Medium,Conceptual/application MCQ
NEET27-CHEM-0588,6,Weak Electrolyte,Easy,Direct recall MCQ
NEET27-CHEM-0589,6,Ionic equilibrium,Medium,Conceptual/application MCQ
NEET27-CHEM-0590,6,Solubility equilibrium,Medium,Conceptual/application MCQ
NEET27-CHEM-0591,6,Acidic Buffer,Difficult,Statement-based MCQ
NEET27-CHEM-0592,6,Equivalence Point,Medium,Sequence/match MCQ
NEET27-CHEM-0593,6,Buffer Capacity,Difficult,Sequence/match MCQ
NEET27-CHEM-0594,6,Amphiprotic Species,Easy,Statement-based MCQ
NEET27-CHEM-0595,6,Lewis Acid,Medium,Statement-based MCQ
NEET27-CHEM-0596,6,Henderson-Hasselbalch Equation,Medium,Conceptual/application MCQ
NEET27-CHEM-0597,6,Le Chatelier principle,Difficult,Conceptual/application MCQ
NEET27-CHEM-0598,6,Acid-base equilibrium,Medium,One-step numerical MCQ
NEET27-CHEM-0599,6,Strong Electrolyte,Difficult,Sequence/match MCQ
NEET27-CHEM-0600,6,Strong Electrolyte,Easy,Statement-based MCQ
NEET27-CHEM-0601,6,Lewis Acid,Easy,Direct recall MCQ
NEET27-CHEM-0602,6,Water ionisation,Medium,Conceptual/application MCQ
NEET27-CHEM-0603,6,Le Chatelier principle,Difficult,Conceptual/application MCQ
NEET27-CHEM-0604,6,pH,Easy,Statement-based MCQ
NEET27-CHEM-0605,6,Equilibrium constant,Medium,Reaction/reagent MCQ
NEET27-CHEM-0606,6,Salt hydrolysis,Medium,Conceptual/application MCQ
NEET27-CHEM-0607,6,Equilibrium fundamentals,Medium,Statement-based MCQ
NEET27-CHEM-0608,6,Ionic Product Of Water,Easy,Statement-based MCQ
NEET27-CHEM-0609,6,Conjugate Acid-Base Pair,Easy,Statement-based MCQ
NEET27-CHEM-0610,6,Equilibrium constant,Medium,Reaction/reagent MCQ
NEET27-CHEM-0611,6,Amphiprotic Species,Difficult,Statement-based MCQ
NEET27-CHEM-0612,6,Strong Electrolyte,Medium,Sequence/match MCQ
NEET27-CHEM-0613,7,Molar Conductivity,Easy,Direct recall MCQ
NEET27-CHEM-0614,7,Primary Cell,Easy,Direct recall MCQ
NEET27-CHEM-0615,7,Electrolytic Cell,Medium,Sequence/match MCQ
NEET27-CHEM-0616,7,Secondary Cell,Difficult,Sequence/match MCQ
NEET27-CHEM-0617,7,Salt Bridge,Easy,Direct recall MCQ
NEET27-CHEM-0618,7,Oxidizing Agent,Difficult,Sequence/match MCQ
NEET27-CHEM-0619,7,Oxidation Number,Easy,Reaction/reagent MCQ
NEET27-CHEM-0620,7,Basic-Medium Balancing,Easy,Statement-based MCQ
NEET27-CHEM-0621,7,Kohlrausch Law,Medium,Statement-based MCQ
NEET27-CHEM-0622,7,Equilibrium-Cell Relation,Difficult,Statement-based MCQ
NEET27-CHEM-0623,7,Redox Couple,Difficult,Sequence/match MCQ
NEET27-CHEM-0624,7,Cell Potential,Easy,Statement-based MCQ
NEET27-CHEM-0625,7,Equilibrium-Cell Relation,Easy,Statement-based MCQ
NEET27-CHEM-0626,7,Basic-Medium Balancing,Difficult,Sequence/match MCQ
NEET27-CHEM-0627,7,Standard Hydrogen Electrode,Medium,Conceptual/application MCQ
NEET27-CHEM-0628,7,Salt Bridge,Easy,Statement-based MCQ
NEET27-CHEM-0629,7,Half-Reaction Method,Difficult,Sequence/match MCQ
NEET27-CHEM-0630,7,Basic-Medium Balancing,Medium,Conceptual/application MCQ
NEET27-CHEM-0631,7,Primary Cell,Medium,Sequence/match MCQ
NEET27-CHEM-0632,7,Cell Notation,Easy,Statement-based MCQ
NEET27-CHEM-0633,7,Standard Electrode Potential,Difficult,Statement-based MCQ
NEET27-CHEM-0634,7,Disproportionation,Difficult,Statement-based MCQ
NEET27-CHEM-0635,7,Oxidation,Easy,Statement-based MCQ
NEET27-CHEM-0636,7,Electrolytic Cell,Easy,Direct recall MCQ
NEET27-CHEM-0637,7,Auto-Redox Reaction,Easy,Statement-based MCQ
NEET27-CHEM-0638,7,Reducing Agent,Easy,Direct recall MCQ
NEET27-CHEM-0639,7,Equivalent Mass In Redox,Difficult,Sequence/match MCQ
NEET27-CHEM-0640,7,Equilibrium-Cell Relation,Medium,Statement-based MCQ
NEET27-CHEM-0641,7,Secondary Cell,Medium,Sequence/match MCQ
NEET27-CHEM-0642,7,Lead Storage Battery,Medium,Sequence/match MCQ
NEET27-CHEM-0643,7,Gibbs-Cell Relation,Difficult,Statement-based MCQ
NEET27-CHEM-0644,7,Gibbs-Cell Relation,Easy,Direct recall MCQ
NEET27-CHEM-0645,7,Combination Redox Reaction,Easy,Statement-based MCQ
NEET27-CHEM-0646,7,Gibbs-Cell Relation,Easy,Statement-based MCQ
NEET27-CHEM-0647,7,Standard Hydrogen Electrode,Difficult,Statement-based MCQ
NEET27-CHEM-0648,7,Galvanic Cell,Easy,Statement-based MCQ
NEET27-CHEM-0649,7,Acidic-Medium Balancing,Difficult,Statement-based MCQ
NEET27-CHEM-0650,7,Standard Electrode Potential,Easy,Statement-based MCQ
NEET27-CHEM-0651,7,Fuel Cell,Easy,Statement-based MCQ
NEET27-CHEM-0652,7,Electrolytic Cell,Easy,Statement-based MCQ
NEET27-CHEM-0653,7,Oxidation Number,Difficult,Statement-based MCQ
NEET27-CHEM-0654,7,Galvanic Cell,Easy,Direct recall MCQ
NEET27-CHEM-0655,7,Cell Potential,Difficult,Statement-based MCQ
NEET27-CHEM-0656,7,Salt Bridge,Difficult,Statement-based MCQ
NEET27-CHEM-0657,7,Nernst Equation,Easy,Statement-based MCQ
NEET27-CHEM-0658,7,Primary Cell,Difficult,Statement-based MCQ
NEET27-CHEM-0659,7,Oxidation Number,Difficult,Sequence/match MCQ
NEET27-CHEM-0660,7,Electron Balance,Easy,Statement-based MCQ
NEET27-CHEM-0661,7,Redox Couple,Easy,Direct recall MCQ
NEET27-CHEM-0662,7,Half-Reaction Method,Difficult,Statement-based MCQ
NEET27-CHEM-0663,7,Salt Bridge,Difficult,Statement-based MCQ
NEET27-CHEM-0664,7,Standard Hydrogen Electrode,Difficult,Statement-based MCQ
NEET27-CHEM-0665,7,Comproportionation,Difficult,Statement-based MCQ
NEET27-CHEM-0666,7,Standard Hydrogen Electrode,Difficult,Sequence/match MCQ
NEET27-CHEM-0667,7,Reducing Agent,Easy,Statement-based MCQ
NEET27-CHEM-0668,7,Auto-Redox Reaction,Easy,Reaction/reagent MCQ
NEET27-CHEM-0669,7,Disproportionation,Difficult,Sequence/match MCQ
NEET27-CHEM-0670,7,Specific Conductance,Medium,Statement-based MCQ
NEET27-CHEM-0671,7,Oxidation Number,Easy,Statement-based MCQ
NEET27-CHEM-0672,7,Acidic-Medium Balancing,Medium,Conceptual/application MCQ
NEET27-CHEM-0673,7,Galvanic Cell,Medium,Sequence/match MCQ
NEET27-CHEM-0674,7,Reducing Agent,Difficult,Statement-based MCQ
NEET27-CHEM-0675,7,Comproportionation,Difficult,Sequence/match MCQ
NEET27-CHEM-0676,7,Electron Balance,Difficult,Sequence/match MCQ
NEET27-CHEM-0677,7,Combination Redox Reaction,Difficult,Sequence/match MCQ
NEET27-CHEM-0678,7,Acidic-Medium Balancing,Easy,Statement-based MCQ
NEET27-CHEM-0679,7,Auto-Redox Reaction,Difficult,Sequence/match MCQ
NEET27-CHEM-0680,7,Faraday Constant,Easy,Direct recall MCQ
NEET27-CHEM-0681,7,Faraday Constant,Easy,Statement-based MCQ
NEET27-CHEM-0682,7,Equivalent Mass In Redox,Easy,Statement-based MCQ
NEET27-CHEM-0683,7,Oxidizing Agent,Easy,Statement-based MCQ
NEET27-CHEM-0684,7,Basic-Medium Balancing,Difficult,Statement-based MCQ
NEET27-CHEM-0685,7,Equivalent Mass In Redox,Difficult,Statement-based MCQ
NEET27-CHEM-0686,7,Auto-Redox Reaction,Difficult,Statement-based MCQ
NEET27-CHEM-0687,7,Oxidizing Agent,Easy,Direct recall MCQ
NEET27-CHEM-0688,7,Combination Redox Reaction,Difficult,Statement-based MCQ
NEET27-CHEM-0689,7,Equivalent Mass In Redox,Medium,Conceptual/application MCQ
NEET27-CHEM-0690,7,Electron Balance,Medium,Conceptual/application MCQ
NEET27-CHEM-0691,7,Specific Conductance,Easy,Direct recall MCQ
NEET27-CHEM-0692,7,Galvanic Cell,Easy,Statement-based MCQ
NEET27-CHEM-0693,7,Faraday Constant,Medium,Sequence/match MCQ
NEET27-CHEM-0694,7,Displacement Redox Reaction,Medium,Reaction/reagent MCQ
NEET27-CHEM-0695,7,Reduction,Difficult,Statement-based MCQ
NEET27-CHEM-0696,7,Oxidation,Difficult,Statement-based MCQ
NEET27-CHEM-0697,7,Half-Reaction Method,Medium,Reaction/reagent MCQ
NEET27-CHEM-0698,7,Combination Redox Reaction,Medium,Reaction/reagent MCQ
NEET27-CHEM-0699,7,Electrolytic Cell,Difficult,Statement-based MCQ
NEET27-CHEM-0700,7,Comproportionation,Easy,Statement-based MCQ
NEET27-CHEM-0701,7,Displacement Redox Reaction,Difficult,Statement-based MCQ
NEET27-CHEM-0702,7,Oxidation,Easy,Reaction/reagent MCQ
NEET27-CHEM-0703,7,Reduction,Easy,Reaction/reagent MCQ
NEET27-CHEM-0704,7,Disproportionation,Easy,Statement-based MCQ
NEET27-CHEM-0705,7,Displacement Redox Reaction,Difficult,Sequence/match MCQ
NEET27-CHEM-0706,7,Acidic-Medium Balancing,Difficult,Sequence/match MCQ
NEET27-CHEM-0707,7,Oxidizing Agent,Difficult,Statement-based MCQ
NEET27-CHEM-0708,7,Redox Couple,Easy,Statement-based MCQ
