id,source_class,unit,chapter,topic,subtopic,question_type,difficulty,cognitive_level,correct_option,figure_required,figure_files
NEET27-PHY-0334,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0335,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,figures/u04-work-035.png
NEET27-PHY-0336,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-031.png
NEET27-PHY-0337,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0338,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0339,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-034.png
NEET27-PHY-0340,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,figures/u04-work-050.png
NEET27-PHY-0341,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Statement-based MCQ,Difficult,Analysis,A,False,figures/u04-work-040.png
NEET27-PHY-0342,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0343,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0344,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,D,False,figures/u04-work-038.png
NEET27-PHY-0345,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,D,False,figures/u04-work-039.png
NEET27-PHY-0346,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0347,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-047.png
NEET27-PHY-0348,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-030.png
NEET27-PHY-0349,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0350,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0351,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-028.png
NEET27-PHY-0352,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0353,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Statement-based MCQ,Medium,Analysis,A,False,figures/u04-work-027.png
NEET27-PHY-0354,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0355,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,figures/u04-work-048.png
NEET27-PHY-0356,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,figures/u04-work-026.png
NEET27-PHY-0357,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0358,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-033.png
NEET27-PHY-0359,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-045.png
NEET27-PHY-0360,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0361,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0362,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0363,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,D,False,figures/u04-work-041.png
NEET27-PHY-0364,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,figures/u04-work-025.png
NEET27-PHY-0365,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,figures/u04-work-043.png
NEET27-PHY-0366,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,figures/u04-work-046.png
NEET27-PHY-0367,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0368,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0369,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0370,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0371,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0372,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,figures/u04-work-053.png
NEET27-PHY-0373,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0374,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0375,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0376,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0377,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,figures/u04-work-036.png
NEET27-PHY-0378,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0379,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-049.png
NEET27-PHY-0380,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0381,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,figures/u04-work-042.png
NEET27-PHY-0382,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0383,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",mixed applications,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0384,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0385,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0386,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0387,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0388,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0389,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-054.png
NEET27-PHY-0390,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,figures/u04-work-029.png
NEET27-PHY-0391,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,A,False,figures/u04-work-051.png
NEET27-PHY-0392,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power","Work, energy and power",conceptual relations,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0393,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power",Work–energy theorem,change in speed,Diagram/circuit/ray MCQ,Medium,Analysis,B,False,figures/u04-work-010.png
NEET27-PHY-0394,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power",Work–energy theorem,change in speed,Diagram/circuit/ray MCQ,Medium,Analysis,B,False,figures/u04-work-009.png
NEET27-PHY-0395,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power",Work–energy theorem,change in speed,Diagram/circuit/ray MCQ,Medium,Analysis,B,False,figures/u04-work-011.png
NEET27-PHY-0396,XI,"Unit 4: Work, Energy and Power","Work, Energy and Power",Work–energy theorem,change in speed,Diagram/circuit/ray MCQ,Medium,Analysis,A,False,figures/u04-work-012.png
NEET27-PHY-0397,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Units,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0398,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Concept,Direct MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0399,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Conservation,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0400,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Numerical,Multi-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0401,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Conservation,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0402,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Application,Conceptual/application MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0403,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Application,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0404,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Comparison,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0405,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Torque relation,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0406,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Conservation,Direct MCQ,Medium,Application,D,False,
NEET27-PHY-0407,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Numerical,One-step numerical MCQ,Easy,Application,A,False,
NEET27-PHY-0408,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular Momentum,Definition,One-step numerical MCQ,Easy,Application,A,False,
NEET27-PHY-0409,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular momentum,conservation of angular momentum,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0410,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular momentum,conservation of angular momentum,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0411,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular momentum,internal redistribution,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0412,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Angular momentum,direction for circular motion,Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0413,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Centre of mass,two-particle system,Multi-step numerical MCQ,Easy,Application,B,False,
NEET27-PHY-0414,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Radius of gyration,Multi-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0415,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Numerical,Multi-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0416,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Numerical,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0417,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Standard bodies,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0418,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Numerical,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0419,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Concept,Conceptual/application MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0420,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Dependence,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0421,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Concept,Direct MCQ,Easy,Recall,C,False,
NEET27-PHY-0422,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Radius of gyration,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0423,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Standard bodies,Direct MCQ,Medium,Application,A,False,
NEET27-PHY-0424,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Multi-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0425,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Direct MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0426,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Radius of gyration,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0427,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0428,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Numerical,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0429,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0430,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Standard bodies,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0431,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0432,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Comparison,Conceptual/application MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0433,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Standard bodies,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0434,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Multi-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0435,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Direct MCQ,Medium,Application,D,False,
NEET27-PHY-0436,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Concept,Direct MCQ,Medium,Application,C,False,
NEET27-PHY-0437,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Definition,Direct MCQ,Easy,Recall,A,False,
NEET27-PHY-0438,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Radius of gyration,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0439,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Numerical,Multi-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0440,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Standard bodies,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0441,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Standard bodies,Direct MCQ,Easy,Recall,A,False,
NEET27-PHY-0442,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Numerical,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0443,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0444,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Comparison,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0445,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of Inertia,Theorems,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0446,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of inertia,radius of gyration,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0447,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of inertia,perpendicular-axis theorem,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0448,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of inertia,parallel-axis theorem,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0449,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Moment of inertia,parallel-axis theorem,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0450,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rolling motion,energy partition,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0451,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rolling motion,motion down an incline,Conceptual/application MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0452,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rolling motion,no-slip condition,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0453,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Numerical,Multi-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0454,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Numerical,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0455,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Application,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0456,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Comparison,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0457,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Power,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0458,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Kinetic energy,One-step numerical MCQ,Easy,Application,A,False,
NEET27-PHY-0459,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Comparison,Conceptual/application MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0460,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational Energy,Work-energy,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0461,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational equilibrium,conditions for equilibrium,Statement-based MCQ,Medium,Analysis,C,False,
NEET27-PHY-0462,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational kinetic energy,rigid-body rotation,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0463,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational kinetic energy,rigid-body rotation,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0464,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0465,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0466,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0467,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0468,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0469,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0470,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0471,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0472,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0473,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,C,False,
NEET27-PHY-0474,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0475,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,B,False,
NEET27-PHY-0476,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0477,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0478,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0479,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0480,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0481,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0482,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0483,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0484,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,B,False,
NEET27-PHY-0485,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0486,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0487,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Statement-based MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0488,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0489,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational motion,"centre of mass, torque and moment of inertia",Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0490,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational power,torque and angular speed,One-step numerical MCQ,Easy,Application,C,False,
NEET27-PHY-0491,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Rotational work,work by constant torque,One-step numerical MCQ,Easy,Application,D,False,
NEET27-PHY-0492,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,Equilibrium,Direct MCQ,Medium,Application,C,False,
NEET27-PHY-0493,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,Direction,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0494,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,vector direction,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0495,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,Definition,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0496,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,Dimensions,Direct MCQ,Medium,Application,B,False,
NEET27-PHY-0497,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,Numerical,One-step numerical MCQ,Easy,Application,D,False,
NEET27-PHY-0498,XI,Unit 5: Rotational Motion,System of Particles and Rotational Motion,Torque,Couple,Direct MCQ,Medium,Application,B,False,
